314664,6840,-4700,-1142,9,13,-4,314,302,286
320948,6800,-4666,-1194,-7,-36,15,302,303,255
327412,6800,-4666,-1194,-7,-36,15,296,308,349
333892,6800,-4666,-1194,-7,-36,15,307,299,240
340352,6592,-4608,-1212,-6,-38,33,305,302,276
346808,6592,-4608,-1212,-6,-38,33,313,303,332
353284,6592,-4608,-1212,-6,-38,33,300,303,272
359760,6598,-4492,-1306,8,-52,49,301,304,308
366136,6598,-4492,-1306,8,-52,49,310,303,277
372512,6334,-4468,-1322,46,-29,76,298,301,264
378968,6334,-4468,-1322,46,-29,76,304,306,375
385436,6334,-4468,-1322,46,-29,76,319,302,256
391904,6238,-4608,-1070,104,6,57,291,303,273
398264,6238,-4608,-1070,104,6,57,312,304,300
404652,6238,-4608,-1070,104,6,57,304,302,256
411044,6666,-4858,-1102,82,47,41,305,306,367
417436,6666,-4858,-1102,82,47,41,304,304,260
423812,6666,-4858,-1102,82,47,41,300,300,262
430180,6952,-4674,-1254,46,25,0,310,305,342
436472,6952,-4674,-1254,46,25,0,301,302,280
442784,7204,-4940,-1194,45,50,-95,303,302,318
449248,7204,-4940,-1194,45,50,-95,309,303,257
455716,7204,-4940,-1194,45,50,-95,298,303,252
462188,6818,-4844,-1056,59,-59,-33,310,307,366
468732,6818,-4844,-1056,59,-59,-33,301,298,273
475300,6818,-4844,-1056,59,-59,-33,291,308,298
481852,6450,-4900,-1132,-13,-104,-9,310,308,301
488484,6450,-4900,-1132,-13,-104,-9,304,298,256
495112,6450,-4900,-1132,-13,-104,-9,308,304,379
501756,6590,-4734,-1202,-24,-85,-17,305,300,266
508396,6590,-4734,-1202,-24,-85,-17,299,303,304
515020,6718,-4658,-1184,-41,-116,26,303,310,273
521648,6718,-4658,-1184,-41,-116,26,298,311,284
528292,6718,-4658,-1184,-41,-116,26,310,311,373
534940,6416,-4560,-1308,-1,-109,55,300,297,248
541484,6416,-4560,-1308,-1,-109,55,305,302,284
548020,6416,-4560,-1308,-1,-109,55,310,298,324
554568,6288,-4522,-1226,15,-27,47,308,293,270
561052,6288,-4522,-1226,15,-27,47,302,322,352
567532,6416,-4416,-1152,26,-11,0,311,301,264
573924,6416,-4416,-1152,26,-11,0,287,318,242
580300,6416,-4416,-1152,26,-11,0,319,324,356
586668,6482,-4154,-996,31,-62,23,308,294,266
593044,6482,-4154,-996,31,-62,23,303,317,313
599436,6482,-4154,-996,31,-62,23,307,294,257
605828,6824,-4182,-1486,-22,6,-34,298,303,264
612284,6824,-4182,-1486,-22,6,-34,307,286,362
618764,6824,-4182,-1486,-22,6,-34,305,319,272
625232,5990,-4818,-1302,168,18,-228,301,313,313
631876,5990,-4818,-1302,168,18,-228,309,297,289
